From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Subcellular location [CC]	Gene Ontology (cellular component)
O14917	O14917	reviewed	PCD17_HUMAN	Protocadherin-17 (Protocadherin-68)	PCDH17 PCDH68 PCH68	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]
P02462	P02462	reviewed	CO4A1_HUMAN	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	COL4A1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:P02463}.	basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P00797	P00797	reviewed	RENI_HUMAN	Renin (EC 3.4.23.15) (Angiotensinogenase)	REN	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12045255}. Membrane {ECO:0000269|PubMed:12045255}. Note=Associated to membranes via binding to ATP6AP2. {ECO:0000269|PubMed:12045255}.	apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
P01241	P01241	reviewed	SOMA_HUMAN	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	endosome lumen [GO:0031904]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth hormone receptor complex [GO:0070195]
P04792	P04792	reviewed	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10777697, ECO:0000269|PubMed:28144995}. Nucleus {ECO:0000269|PubMed:19464326}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:10777697}. Note=Cytoplasmic in interphase cells. Colocalizes with mitotic spindles in mitotic cells. Translocates to the nucleus during heat shock and resides in sub-nuclear structures known as SC35 speckles or nuclear splicing speckles. {ECO:0000269|PubMed:19464326}.	axon cytoplasm [GO:1904115]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]
P06858	P06858	reviewed	LIPL_HUMAN	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32)	LPL LIPD	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P11151}; Peripheral membrane protein {ECO:0000250|UniProtKB:P11151}; Extracellular side {ECO:0000250|UniProtKB:P11151}. Secreted {ECO:0000269|PubMed:11342582, ECO:0000269|PubMed:11893776, ECO:0000269|PubMed:12641539, ECO:0000269|PubMed:1371284, ECO:0000269|PubMed:2340307, ECO:0000269|PubMed:27578112, ECO:0000269|PubMed:30559189}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:27811232}. Note=Newly synthesized LPL binds to cell surface heparan proteoglycans and is then released by heparanase. Subsequently, it becomes attached to heparan proteoglycan on endothelial cells (PubMed:27811232). Locates to the plasma membrane of microvilli of hepatocytes with triglyceride-rich lipoproteins (TRL). Some of the bound LPL is then internalized and located inside non-coated endocytic vesicles (By similarity). {ECO:0000250|UniProtKB:P11151, ECO:0000269|PubMed:27811232}.	catalytic complex [GO:1902494]; cell surface [GO:0009986]; chylomicron [GO:0042627]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; very-low-density lipoprotein particle [GO:0034361]
P07204	P07204	reviewed	TRBM_HUMAN	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	THBD THRM	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	apicolateral plasma membrane [GO:0016327]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; serine-type endopeptidase complex [GO:1905370]; vacuolar membrane [GO:0005774]
P07711	P07711	reviewed	CATL1_HUMAN	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	CTSL CTSL1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Lysosome {ECO:0000250|UniProtKB:P06797}. Apical cell membrane {ECO:0000250|UniProtKB:P06797}; Peripheral membrane protein {ECO:0000250|UniProtKB:P06797}; Extracellular side {ECO:0000250|UniProtKB:P06797}. Cytoplasmic vesicle, secretory vesicle, chromaffin granule {ECO:0000250|UniProtKB:P25975}. Secreted, extracellular space {ECO:0000250|UniProtKB:P06797}. Secreted {ECO:0000250|UniProtKB:P06797}. Note=Localizes to the apical membrane of thyroid epithelial cells. Released at extracellular space by activated dendritic cells and macrophages. {ECO:0000250|UniProtKB:P06797}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:15099520}. Note=Translation initiation at downstream start sites allows the synthesis of isoforms that are devoid of a signal peptide and do not transit through the endoplasmic reticulum to localize to the nucleus (PubMed:15099520). Nuclear location varies during the cell cycle, with higher levels during S phase (PubMed:15099520). {ECO:0000269|PubMed:15099520}.	apical plasma membrane [GO:0016324]; chromaffin granule [GO:0042583]; collagen-containing extracellular matrix [GO:0062023]; endocytic vesicle lumen [GO:0071682]; endolysosome lumen [GO:0036021]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; multivesicular body [GO:0005771]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P09601	P09601	reviewed	HMOX1_HUMAN	Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form]	HMOX1 HO HO1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22419571}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000269|PubMed:22419571}.	caveola [GO:0005901]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P12104	P12104	reviewed	FABPI_HUMAN	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)	FABP2 FABPI	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.	apical cortex [GO:0045179]; cytosol [GO:0005829]; microvillus [GO:0005902]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
