"","X","baseMean","logFC","lfcSE","stat","pvalue","adj.P.Val","Ensembl_ID","Gene_name"
"341","ENSG00000020426",285.391393945776,0.0371483619713837,0.0489116188083166,0.759499744160324,0.447553667046427,0.826872446237796,"ENSG00000020426","MNAT1"
"1546","ENSG00000088305",26.3399798633841,0.0654520649276897,0.0761588022132899,0.859415629258258,0.390111249921645,0.790360309752462,"ENSG00000088305","DNMT3B"
"2301","ENSG00000102172",1477.05378252469,0.0314700240471752,0.0400347248441944,0.786068198786155,0.431827533864363,0.817453706411765,"ENSG00000102172","SMS"
"3880","ENSG00000115758",5177.54307126423,-0.0321701461353634,0.0929553513635568,-0.346081701198063,0.729281315023448,0.942061015820867,"ENSG00000115758","ODC1"
"3978","ENSG00000116649",697.051577752197,-0.0582366923337637,0.0464461309853783,-1.25385454284873,0.2098948800507,0.669990709274262,"ENSG00000116649","SRM"
"4181","ENSG00000118520",2.20334688842768,0.0673935224316512,0.378683821153646,0.177967789134321,0.85874827242507,0.975015722261168,"ENSG00000118520","ARG1"
"4649","ENSG00000123505",4423.32753690592,-0.0156708133958974,0.0752718764435856,-0.208189487711819,0.835081016357347,0.968102509650199,"ENSG00000123505","AMD1"
"5300","ENSG00000130066",25299.187487853,0.0477608478986299,0.0824169680808723,0.579502607421377,0.562250087773886,0.878384542466018,"ENSG00000130066","SAT1"
"5419","ENSG00000130816",2720.71631297828,-0.00973464128921153,0.0380562003562872,-0.255796458870684,0.798108008378263,0.959947359927718,"ENSG00000130816","DNMT1"
"5454","ENSG00000131069",938.779900342002,-0.0626614615905619,0.0569022551089379,-1.10121227129923,0.270804282153659,0.716817568214131,"ENSG00000131069","ACSS2"
"5504","ENSG00000131473",4068.08562870404,0.0446757588532488,0.0309040737632733,1.4456268515105,0.148281891109489,0.600876113350131,"ENSG00000131473","ACLY"
"7471","ENSG00000146409",693.659099338018,-0.032567071396952,0.0554544771985057,-0.587275780824232,0.557018504251196,0.875601418403384,"ENSG00000146409","SLC18B1"
"7705","ENSG00000148832",160.798080730887,-0.112110924847777,0.0511577613124631,-2.19147441114599,0.0284174795030059,0.339690371059146,"ENSG00000148832","PAOX"
"10352","ENSG00000168906",4784.11955606015,-0.0304688165381492,0.0402894510684757,-0.756247993708441,0.449500522554724,0.827965655211499,"ENSG00000168906","MAT2A"
"12668","ENSG00000185818",5.2641293558364,0.0527870561167212,0.203348279097793,0.259589391908919,0.795180519918868,0.959752758768176,"ENSG00000185818","NAT8L"
