"","gene","BIC","BIC_diff"
"1","ABHD14B",-11310.5280602408,0
"2","ABL1",-11310.5280602408,0
"3","ACY1",-11310.5280602408,0
"4","AP3B1",-11310.5280602408,0
"5","APRT",-11310.5280602408,0
"6","ARF6",-11310.5280602408,0
"7","ARHGEF12",-11310.5280602408,0
"8","ATOX1",-11310.5280602408,0
"9","AXIN1",-11310.5280602408,0
"10","BCL2L1",-11310.5280602408,0
"11","BRAP",-11310.5280602408,0
"12","CACYBP",-11310.5280602408,0
"13","CASP3",-11310.5280602408,0
"14","CC2D1A",-11310.5280602408,0
"15","CD40",-11310.5280602408,0
"16","CD69",-11310.5280602408,0
"17","CDC26",-11310.5280602408,0
"18","CDC37",-11310.5280602408,0
"19","CDC42BPB",-11310.5280602408,0
"20","CDKN1A",-11310.5280602408,0
"21","CDKN2D",-11310.5280602408,0
"22","CETN3",-11310.5280602408,0
"23","CIAPIN1",-11310.5280602408,0
"24","CIRBP",-11310.5280602408,0
"25","CMC1",-11310.5280602408,0
"26","COMMD1",-11310.5280602408,0
"27","CRKL",-11310.5280602408,0
"28","CRYBB1",-11310.5280602408,0
"29","DAAM1",-11310.5280602408,0
"30","DAG1",-11310.5280602408,0
"31","DBI",-11310.5280602408,0
"32","DCTN2",-11310.5280602408,0
"33","DECR1",-11310.5280602408,0
"34","DNAJA2",-11310.5280602408,0
"35","DNAJB14",-11310.5280602408,0
"36","DNAJB6",-11310.5280602408,0
"37","DOK2",-11310.5280602408,0
"38","DRG2",-11310.5280602408,0
"39","DTYMK",-11310.5280602408,0
"40","DXO",-11310.5280602408,0
"41","EBAG9",-11310.5280602408,0
"42","EEF1D",-11310.5280602408,0
"43","EHBP1",-11310.5280602408,0
"44","EIF4E",-11310.5280602408,0
"45","EIF4G1",-11310.5280602408,0
"46","ENO1",-11310.5280602408,0
"47","ENO2",-11310.5280602408,0
"48","ERBIN",-11310.5280602408,0
"49","ERP29",-11310.5280602408,0
"50","F11R",-11310.5280602408,0
"51","FABP5",-11310.5280602408,0
"52","FADD",-11310.5280602408,0
"53","FAM13A",-11310.5280602408,0
"54","FKBP14",-11310.5280602408,0
"55","FKBP4",-11310.5280602408,0
"56","FKBP5",-11310.5280602408,0
"57","FXN",-11310.5280602408,0
"58","FYB1",-11310.5280602408,0
"59","GCC1",-11310.5280602408,0
"60","GGACT",-11310.5280602408,0
"61","GGCT",-11323.104332805,12.5762725642035
"62","GLOD4",-11310.5280602408,0
"63","GMPR2",-11310.5280602408,0
"64","GPD1",-11310.5280602408,0
"65","GPI",-11310.5280602408,0
"66","GRHPR",-11310.5280602408,0
"67","GZMH",-11310.5280602408,0
"68","HARS1",-11310.5280602408,0
"69","HBEGF",-11310.5280602408,0
"70","HCLS1",-11310.5280602408,0
"71","HHEX",-11310.5280602408,0
"72","HNRNPK",-11310.5280602408,0
"73","HSPA1A",-11310.5280602408,0
"74","HTRA2",-11310.5280602408,0
"75","IL7",-11310.5280602408,0
"76","IPCEF1",-11310.5280602408,0
